source,target
285-1283,49-10034
285-1283,206-0032
70-3761,m-IoanaManolescu
70-3761,m-TovaMilo
70-3761,a-BAmann
90-3103,m-IoanaManolescu
90-3103,m-TovaMilo
90-3103,b-LucBouganim
d-FlorinDragan,m-IoanaManolescu
d-FlorinDragan,m-TovaMilo
90-4446,m-IoanaManolescu
90-4446,139-1128
90-4446,92-6981
90-4446,58-1327
90-4446,24-279
90-4446,135-7623
297-6192,24-279
63-5370,f-ElenaFerrari
63-5370,10-760
60-9969,k-BettinaKemme
r-MCRousset,p-JMPetit
r-MCRousset,m-IoanaManolescu
r-MCRousset,h-AlonYHalevy
r-MCRousset,92-6981
r-MCRousset,12-225
r-MCRousset,200-8321
r-MCRousset,02-7933
36-1754,19-1082
81-2020,19-1082
236-4773,19-1082
84-7996,68-1297
15-6276,v-VVassalos
15-6276,p-NeoklisPolyzotis
15-6276,34-6253
15-6276,08-5342
15-6276,h-KatjaHose
15-6276,12-225
15-6276,t-YannisTheodoridis
201-1395,87-10957
254-2650,p-OdysseasPapapetrou
276-5371,p-OdysseasPapapetrou
52-980,40-2808
52-980,p-OdysseasPapapetrou
42-919,w-WeiWang11
c-PKChrysanthis,36-5628
c-PKChrysanthis,13-8330
c-PKChrysanthis,296-6740
c-PKChrysanthis,296-7831
c-PKChrysanthis,296-8064
c-PKChrysanthis,74-2854
c-PKChrysanthis,176-1218
c-PKChrysanthis,133-1927
c-PKChrysanthis,164-0434
c-PKChrysanthis,294-7594
c-PKChrysanthis,264-5992
c-PKChrysanthis,38-11165
c-PKChrysanthis,78-2659
c-PKChrysanthis,264-5806
c-PKChrysanthis,05-3617
c-PKChrysanthis,16-4486
c-PKChrysanthis,p-MEPollack
c-PKChrysanthis,216-6108
c-PKChrysanthis,96-520
c-PKChrysanthis,44-4438
c-PKChrysanthis,24-1954
c-PKChrysanthis,a-AhmedAmer
c-PKChrysanthis,s-DavidWStemple
c-PKChrysanthis,16-1826
c-PKChrysanthis,08-3175
c-PKChrysanthis,328-0158
c-PKChrysanthis,03-2361
c-PKChrysanthis,92-7292
c-PKChrysanthis,78-4271
c-PKChrysanthis,p-KirkPruhs
c-PKChrysanthis,79-1557
c-PKChrysanthis,97-2482
c-PKChrysanthis,23-6718-1
c-PKChrysanthis,82-5271
c-PKChrysanthis,23-991
c-PKChrysanthis,c-ShiKuoChang
c-PKChrysanthis,287-7218
c-PKChrysanthis,355-1132
c-PKChrysanthis,k-AndreasKonstantinidis2
c-PKChrysanthis,82-13-2
c-PKChrysanthis,05-2087
c-PKChrysanthis,94-48
c-PKChrysanthis,18-5642
c-PKChrysanthis,85-1081
c-PKChrysanthis,126-1287
c-PKChrysanthis,41-2117
c-PKChrysanthis,126-1493
c-PKChrysanthis,36-8548
c-PKChrysanthis,156-7338
c-PKChrysanthis,00-91
c-PKChrysanthis,71-11411
c-PKChrysanthis,19-11411
c-PKChrysanthis,38-11411
c-PKChrysanthis,05-2224
c-PKChrysanthis,65-7292
c-PKChrysanthis,11-5327
c-PKChrysanthis,56-2971
c-PKChrysanthis,355-1189
c-PKChrysanthis,11-5624
c-PKChrysanthis,272-6806
c-PKChrysanthis,272-6639
c-PKChrysanthis,39-1225
c-PKChrysanthis,37-2844
c-PKChrysanthis,176-9575
c-PKChrysanthis,43-9877
c-PKChrysanthis,87-3550
c-PKChrysanthis,88-16
c-PKChrysanthis,328-0573
c-PKChrysanthis,327-9991
c-PKChrysanthis,220-0166
c-PKChrysanthis,328-0640
c-PKChrysanthis,174-4981
c-PKChrysanthis,48-3308
c-PKChrysanthis,07-3794
c-PKChrysanthis,200-2747
c-PKChrysanthis,177-6339
c-PKChrysanthis,203-0803
c-PKChrysanthis,203-0798
c-PKChrysanthis,203-0743
c-PKChrysanthis,41-3871-2
c-PKChrysanthis,260-1213
c-PKChrysanthis,18-7216
c-PKChrysanthis,94-7218
c-PKChrysanthis,60-7215
c-PKChrysanthis,61-7545
c-PKChrysanthis,129-1589
c-PKChrysanthis,119-3495
c-PKChrysanthis,14-2918
c-PKChrysanthis,39-3768
c-PKChrysanthis,169-1787
c-PKChrysanthis,32-7292
c-PKChrysanthis,29-2176
c-PKChrysanthis,162-9969
c-PKChrysanthis,198-3831
c-PKChrysanthis,95-2787
c-PKChrysanthis,m-RamiGMelhem
c-PKChrysanthis,j-AKJones
c-PKChrysanthis,97-5000
c-PKChrysanthis,91-276
c-PKChrysanthis,79-8798-3
c-PKChrysanthis,205-5481
c-PKChrysanthis,84-8159
c-PKChrysanthis,259-3189
c-PKChrysanthis,i-JadwigaIndulska
c-PKChrysanthis,287-6650
c-PKChrysanthis,196-1334
c-PKChrysanthis,237-9337
c-PKChrysanthis,213-4957
c-PKChrysanthis,20-3718
c-PKChrysanthis,31-5578
c-PKChrysanthis,08-5643
c-PKChrysanthis,15-724
c-PKChrysanthis,29-5969
c-PKChrysanthis,54-3442
c-PKChrysanthis,a-CristianaAmza
c-PKChrysanthis,135-1354
c-PKChrysanthis,12-9486
c-PKChrysanthis,70-3472
c-PKChrysanthis,69-6983
c-PKChrysanthis,06-6636
c-PKChrysanthis,c-GennaroCostagliola
c-PKChrysanthis,13-4391
c-PKChrysanthis,72-5118
c-PKChrysanthis,83-9733
c-PKChrysanthis,96-7727
c-PKChrysanthis,120-7554
c-PKChrysanthis,355-4515
c-PKChrysanthis,168-0925
c-PKChrysanthis,168-0929
c-PKChrysanthis,355-4557
c-PKChrysanthis,84-6659
c-PKChrysanthis,17-3334
c-PKChrysanthis,47-6086
c-PKChrysanthis,62-220
c-PKChrysanthis,135-4490
c-PKChrysanthis,b-JoseCarlosBrustoloni
c-PKChrysanthis,54-4898
c-PKChrysanthis,92-3269
c-PKChrysanthis,170-5394
c-PKChrysanthis,79-4022
c-PKChrysanthis,10-10033
c-PKChrysanthis,94-6656
c-PKChrysanthis,z-TaiebZnati
c-PKChrysanthis,85-5868
c-PKChrysanthis,67-2296
c-PKChrysanthis,328-1027
c-PKChrysanthis,350-2398
c-PKChrysanthis,58-165
c-PKChrysanthis,91-1312
c-PKChrysanthis,35-6871
c-PKChrysanthis,73-2306
c-PKChrysanthis,24-4587
c-PKChrysanthis,47-5095
c-PKChrysanthis,29-4810
13-8330,k-VanaKalogeraki
13-8330,164-7451
296-6740,116-0694
296-6740,z-DemetriosZeinalipourYazti
296-7831,116-0694
296-7831,z-DemetriosZeinalipourYazti
296-8064,116-0694
296-8064,z-DemetriosZeinalipourYazti
74-2854,116-0694
74-2854,z-DemetriosZeinalipourYazti
176-1218,116-0694
176-1218,s-MohamedASharaf
133-1927,l-ALabrinidis
133-1927,116-0694
133-1927,z-DemetriosZeinalipourYazti
133-1927,s-MohamedASharaf
16-4486,c-VassilisChristophides
44-4438,l-ALabrinidis
44-4438,s-MohamedASharaf
24-1954,l-ALabrinidis
a-AhmedAmer,l-ALabrinidis
16-1826,116-0694
16-1826,z-DemetriosZeinalipourYazti
16-1826,26-5170
08-3175,l-ALabrinidis
328-0158,116-0694
92-7292,l-ALabrinidis
92-7292,s-MohamedASharaf
78-4271,l-ALabrinidis
78-4271,s-MohamedASharaf
p-KirkPruhs,l-ALabrinidis
p-KirkPruhs,n-HungQNgo
p-KirkPruhs,s-MohamedASharaf
23-6718-1,l-ALabrinidis
82-5271,67-2583
c-ShiKuoChang,142-7802
287-7218,116-0694
287-7218,z-DemetriosZeinalipourYazti
355-1132,116-0694
355-1132,z-DemetriosZeinalipourYazti
k-AndreasKonstantinidis2,94-5893
k-AndreasKonstantinidis2,116-0694
k-AndreasKonstantinidis2,z-DemetriosZeinalipourYazti
k-AndreasKonstantinidis2,t-YannisTheodoridis
82-13-2,s-MohamedASharaf
05-2087,s-MohamedASharaf
94-48,s-MohamedASharaf
18-5642,l-ALabrinidis
18-5642,s-MohamedASharaf
85-1081,s-MohamedASharaf
156-7338,l-ALabrinidis
00-91,l-ALabrinidis
71-11411,l-ALabrinidis
19-11411,l-ALabrinidis
38-11411,l-ALabrinidis
05-2224,l-ALabrinidis
05-2224,74-20
65-7292,l-ALabrinidis
65-7292,s-MohamedASharaf
65-7292,142-7802
56-2971,116-0694
355-1189,116-0694
11-5624,127-0779
11-5624,116-0694
11-5624,14-10147
11-5624,131-2926
272-6806,116-0694
272-6806,z-DemetriosZeinalipourYazti
272-6639,116-0694
272-6639,z-DemetriosZeinalipourYazti
328-0573,s-MohamedASharaf
327-9991,s-MohamedASharaf
220-0166,s-MohamedASharaf
328-0640,s-MohamedASharaf
48-3308,d-GDobbie
200-2747,l-ALabrinidis
200-2747,116-0694
200-2747,s-MohamedASharaf
177-6339,l-ALabrinidis
177-6339,s-MohamedASharaf
177-6339,142-7802
203-0803,z-DemetriosZeinalipourYazti
203-0798,z-DemetriosZeinalipourYazti
203-0743,z-DemetriosZeinalipourYazti
18-7216,l-ALabrinidis
18-7216,s-MohamedASharaf
94-7218,l-ALabrinidis
60-7215,l-ALabrinidis
61-7545,z-DemetriosZeinalipourYazti
61-7545,45-4887
61-7545,26-5170
119-3495,s-MohamedASharaf
14-2918,l-ALabrinidis
169-1787,l-ALabrinidis
169-1787,142-7802
32-7292,z-DemetriosZeinalipourYazti
m-RamiGMelhem,l-ALabrinidis
259-3189,116-0694
i-JadwigaIndulska,94-5893
i-JadwigaIndulska,z-XiaofangZhou
287-6650,z-DemetriosZeinalipourYazti
196-1334,s-MohamedASharaf
237-9337,z-DemetriosZeinalipourYazti
213-4957,z-DemetriosZeinalipourYazti
20-3718,z-DemetriosZeinalipourYazti
31-5578,l-ALabrinidis
08-5643,l-ALabrinidis
a-CristianaAmza,l-ALabrinidis
a-CristianaAmza,s-KennethSalem
a-CristianaAmza,k-NickKoudas
a-CristianaAmza,s-MohamedASharaf
135-1354,l-ALabrinidis
12-9486,l-ALabrinidis
83-9733,l-ALabrinidis
83-9733,c-ShiminChen
96-7727,s-MohamedASharaf
120-7554,21-1048-2
120-7554,s-MohamedASharaf
355-4515,116-0694
168-0925,z-DemetriosZeinalipourYazti
168-0929,z-DemetriosZeinalipourYazti
355-4557,116-0694
135-4490,l-ALabrinidis
b-JoseCarlosBrustoloni,l-ALabrinidis
b-JoseCarlosBrustoloni,k-HenryFKorth
54-4898,l-ALabrinidis
92-3269,l-ALabrinidis
170-5394,l-ALabrinidis
79-4022,l-ALabrinidis
10-10033,l-ALabrinidis
z-TaiebZnati,m-SharadMehrotra
328-1027,116-0694
350-2398,116-0694
58-165,116-0694
91-1312,116-0694
g-TorstenGrust,238-4353
g-TorstenGrust,163-0521
g-TorstenGrust,54-6350
g-TorstenGrust,93-5778
g-TorstenGrust,18-7857
g-TorstenGrust,99-10310
g-TorstenGrust,90-8308
g-TorstenGrust,139-1527
g-TorstenGrust,93-7116
g-TorstenGrust,17-10734
g-TorstenGrust,248-8206
g-TorstenGrust,59-1656-6
g-TorstenGrust,372-1939
g-TorstenGrust,328-9642
g-TorstenGrust,65-4120
g-TorstenGrust,310-8391
g-TorstenGrust,223-0828
g-TorstenGrust,02-5602
g-TorstenGrust,32-6194
g-TorstenGrust,185-4381
g-TorstenGrust,91-2981
g-TorstenGrust,67-6041
g-TorstenGrust,00-6362
g-TorstenGrust,00-6347
g-TorstenGrust,74-1951
g-TorstenGrust,38-2368-3
g-TorstenGrust,27-8510
g-TorstenGrust,93-9378
238-4353,58-4127
54-6350,k-AlfonsKemper
54-6350,s-TimosKSellis
372-1939,58-4127
328-9642,58-4127
65-4120,58-4127
65-4120,a-AnastassiaAilamaki
65-4120,154-0932
65-4120,127-3025
65-4120,98-3414-1
65-4120,07-11533
65-4120,74-3608-6
65-4120,c-ShiminChen
65-4120,145-6329
67-6041,k-AlfonsKemper
00-6362,k-ChristophKoch
00-6362,143-6186
00-6362,96-3253
00-6362,32-7263
b-ChristianBizer,160-7780
b-ChristianBizer,04-874
b-ChristianBizer,44-2560
b-ChristianBizer,71-1697
b-ChristianBizer,b-TimBernersLee
b-ChristianBizer,59-2318
b-ChristianBizer,184-8767
b-ChristianBizer,144-2935
b-ChristianBizer,30-10781
b-ChristianBizer,145-7915
b-ChristianBizer,02-9016
b-ChristianBizer,47-7466
b-ChristianBizer,337-8443
b-ChristianBizer,240-9302
b-ChristianBizer,64-8154
b-ChristianBizer,66-10399
b-ChristianBizer,59-10285
b-ChristianBizer,159-8594
b-ChristianBizer,59-4344
b-ChristianBizer,225-9522
b-ChristianBizer,225-9466
b-ChristianBizer,91-5826
b-ChristianBizer,45-7522
b-ChristianBizer,11-4107
b-ChristianBizer,178-3681
b-ChristianBizer,126-8706
b-ChristianBizer,92-3729
b-ChristianBizer,24-6952
b-ChristianBizer,32-10636
b-ChristianBizer,173-6729
b-ChristianBizer,13-5231
b-ChristianBizer,187-7398
b-ChristianBizer,49-125
b-ChristianBizer,95-782
b-ChristianBizer,144-2944
b-ChristianBizer,94-8388
b-ChristianBizer,98-8388
b-ChristianBizer,02-8389
b-ChristianBizer,50-7954
b-ChristianBizer,95-8388
b-ChristianBizer,93-8388
b-ChristianBizer,07-8389
b-ChristianBizer,40-2305
b-ChristianBizer,16-4245
b-ChristianBizer,207-3608
b-ChristianBizer,76-4814
b-ChristianBizer,129-7445
b-ChristianBizer,167-8229
b-ChristianBizer,121-2629
b-ChristianBizer,159-8627
b-ChristianBizer,67-3827
b-ChristianBizer,s-HalaSkaf
b-ChristianBizer,97-7236-1
b-ChristianBizer,96-5764
b-ChristianBizer,01-3175
b-ChristianBizer,54-3858
b-ChristianBizer,92-5932
b-ChristianBizer,73-730
b-ChristianBizer,118-3466
b-ChristianBizer,47-6286
b-ChristianBizer,63-5191
b-ChristianBizer,g-GunnarAastrandGrimnes
b-ChristianBizer,97-7236-2
b-ChristianBizer,338-6902
b-ChristianBizer,223-7945
b-ChristianBizer,144-2805
b-ChristianBizer,42-1287
b-ChristianBizer,35-3909
b-ChristianBizer,05-1222
b-ChristianBizer,157-3182
b-ChristianBizer,274-1159
b-ChristianBizer,273-2275
44-2560,38-2946
71-1697,c-IFCruz
59-2318,71-5578
144-2935,h-OktieHassanzadeh
337-8443,h-OktieHassanzadeh
337-8443,87-11444
11-4107,73-6114
24-6952,38-8707
13-5231,69-1215-1
49-125,h-AndreasHotho
40-2305,m-IoanaManolescu
40-2305,92-6981
159-8627,d-XinLunaDong
159-8627,s-MonicaScannapieco
s-HalaSkaf,h-KatjaHose
s-HalaSkaf,87-11444
118-3466,h-KatjaHose
h-AndreasHotho,21-3865
h-AndreasHotho,35-3308
h-AndreasHotho,96-4484
h-AndreasHotho,a-SarabjotSAnand
h-AndreasHotho,46-650
h-AndreasHotho,116-1685
h-AndreasHotho,04-1237
h-AndreasHotho,p-GPaass
h-AndreasHotho,145-1072
h-AndreasHotho,140-7421
h-AndreasHotho,k-BeateKrause
h-AndreasHotho,43-205
h-AndreasHotho,167-3226
h-AndreasHotho,219-0693
h-AndreasHotho,237-9910
h-AndreasHotho,67-602
h-AndreasHotho,183-6703
h-AndreasHotho,180-3200
h-AndreasHotho,222-0126
h-AndreasHotho,267-0094
h-AndreasHotho,260-6530
h-AndreasHotho,270-7717
h-AndreasHotho,46-1264
h-AndreasHotho,15-6896
h-AndreasHotho,d-StefanDecker
h-AndreasHotho,34-590
h-AndreasHotho,91-6041
h-AndreasHotho,20-8419
h-AndreasHotho,36-8419
h-AndreasHotho,05-6767
h-AndreasHotho,23-8419
h-AndreasHotho,222-4602
h-AndreasHotho,50-3748
h-AndreasHotho,56-6426
h-AndreasHotho,219-5291
h-AndreasHotho,54-6394-1
h-AndreasHotho,s-ChristophSchmitz
h-AndreasHotho,176-0549
h-AndreasHotho,176-0495
h-AndreasHotho,260-6464
h-AndreasHotho,259-1310
h-AndreasHotho,162-0997-2
h-AndreasHotho,259-1784
h-AndreasHotho,207-6979
h-AndreasHotho,48-4751
h-AndreasHotho,309-0958
h-AndreasHotho,367-4953
h-AndreasHotho,367-2097
h-AndreasHotho,267-0295
h-AndreasHotho,248-8862
h-AndreasHotho,167-0247
h-AndreasHotho,222-0160
h-AndreasHotho,222-4751
h-AndreasHotho,341-7655
h-AndreasHotho,173-6614
h-AndreasHotho,306-1681
h-AndreasHotho,249-4082
h-AndreasHotho,127-1187
h-AndreasHotho,312-2797
h-AndreasHotho,s-LarsSchmidtThieme
h-AndreasHotho,20-11262-1
h-AndreasHotho,64-2637
h-AndreasHotho,31-7263
h-AndreasHotho,00-1839
h-AndreasHotho,79-1225
h-AndreasHotho,50-125
h-AndreasHotho,25-10007-2
h-AndreasHotho,248-8688
h-AndreasHotho,14-3132
h-AndreasHotho,167-3227
h-AndreasHotho,44-4419
h-AndreasHotho,38-968
h-AndreasHotho,99-49
h-AndreasHotho,57-3154
h-AndreasHotho,r-PaulResnick
h-AndreasHotho,98-8778
h-AndreasHotho,249-1165
h-AndreasHotho,281-9827
h-AndreasHotho,197-3040
h-AndreasHotho,45-10211
h-AndreasHotho,29-1740
h-AndreasHotho,118-7191
h-AndreasHotho,68-2220
h-AndreasHotho,290-5794
h-AndreasHotho,72-6264
h-AndreasHotho,290-5883
h-AndreasHotho,88-8156
h-AndreasHotho,290-6047
h-AndreasHotho,290-5836
h-AndreasHotho,31-4557
h-AndreasHotho,266-9938
h-AndreasHotho,260-0133
h-AndreasHotho,23-3748
h-AndreasHotho,273-8092
h-AndreasHotho,55-893
h-AndreasHotho,156-6203
h-AndreasHotho,212-0322
h-AndreasHotho,87-1127
h-AndreasHotho,340-3870
h-AndreasHotho,267-9441
h-AndreasHotho,347-5198
h-AndreasHotho,222-6618
h-AndreasHotho,209-8979
h-AndreasHotho,97-2076
h-AndreasHotho,202-9491
h-AndreasHotho,144-3077
h-AndreasHotho,340-5680
h-AndreasHotho,325-3476
h-AndreasHotho,91-1480
h-AndreasHotho,62-4365
h-AndreasHotho,51-6821
h-AndreasHotho,59-5046
h-AndreasHotho,89-1454
h-AndreasHotho,84-3733
h-AndreasHotho,325-3189
h-AndreasHotho,59-5618
h-AndreasHotho,205-5215
h-AndreasHotho,b-MathiasBauer
h-AndreasHotho,54-2905
h-AndreasHotho,f-JohannesFurnkranz
h-AndreasHotho,34-4912
h-AndreasHotho,17-6328
h-AndreasHotho,39-4695
h-AndreasHotho,351-8227
h-AndreasHotho,180-9084
h-AndreasHotho,65-3461
h-AndreasHotho,06-9509
h-AndreasHotho,v-JakobVoss
h-AndreasHotho,133-7827
h-AndreasHotho,99-8851
h-AndreasHotho,170-8334
h-AndreasHotho,t-PhuocTranGia
h-AndreasHotho,143-4734
h-AndreasHotho,130-4084
h-AndreasHotho,k-SamuelKounev
h-AndreasHotho,f-MichaelFischer
h-AndreasHotho,98-5212
h-AndreasHotho,202-7668
h-AndreasHotho,280-1875
h-AndreasHotho,88-66
h-AndreasHotho,09-10763
h-AndreasHotho,247-1309
h-AndreasHotho,329-6697
h-AndreasHotho,s-BjornSchnizler
h-AndreasHotho,369-2621
h-AndreasHotho,19-3784
h-AndreasHotho,29-2665
h-AndreasHotho,27-2056
h-AndreasHotho,32-7029-1
h-AndreasHotho,79-4619
h-AndreasHotho,305-8097
h-AndreasHotho,245-7557
h-AndreasHotho,308-5640
h-AndreasHotho,269-4849
h-AndreasHotho,150-9253
h-AndreasHotho,69-1553
h-AndreasHotho,67-5601
h-AndreasHotho,78-4490
h-AndreasHotho,c-AntoineCornuejols
h-AndreasHotho,58-1631
h-AndreasHotho,05-8026
h-AndreasHotho,s-LorenzaSaitta
h-AndreasHotho,85-2625
h-AndreasHotho,21-2505
h-AndreasHotho,84-3880-1
h-AndreasHotho,10-5475
h-AndreasHotho,121-7065
h-AndreasHotho,324-2029
h-AndreasHotho,302-9514
h-AndreasHotho,42-9272
h-AndreasHotho,221-7553
h-AndreasHotho,265-2881
h-AndreasHotho,221-7539
h-AndreasHotho,350-1063
h-AndreasHotho,79-5936
h-AndreasHotho,56-1368
h-AndreasHotho,88-462
h-AndreasHotho,151-2099
h-AndreasHotho,166-5304
h-AndreasHotho,38-6013-1
h-AndreasHotho,22-4255
h-AndreasHotho,06-5883
h-AndreasHotho,28-5577
h-AndreasHotho,41-631
h-AndreasHotho,c-SilviaCoradeschi
h-AndreasHotho,80-4914
h-AndreasHotho,93-2086
h-AndreasHotho,36-5923
h-AndreasHotho,44-1444
h-AndreasHotho,b-PPBonissone
h-AndreasHotho,29-5664
h-AndreasHotho,49-4203
h-AndreasHotho,57-1766
h-AndreasHotho,00-2197
h-AndreasHotho,46-276
h-AndreasHotho,p-DoinaPrecup
h-AndreasHotho,91-5160
h-AndreasHotho,15-909
h-AndreasHotho,88-6389
h-AndreasHotho,71-7413
h-AndreasHotho,17-3178
h-AndreasHotho,246-9549
h-AndreasHotho,184-3649-2
h-AndreasHotho,75-6949
h-AndreasHotho,84-3088
h-AndreasHotho,278-2234
h-AndreasHotho,225-8213
h-AndreasHotho,348-7170
h-AndreasHotho,328-4731
h-AndreasHotho,325-3701
h-AndreasHotho,325-3567
46-650,74-3195
46-650,m-TovaMilo
46-650,185-4349
04-1237,k-GeorgiaKoutrika
183-6703,87-6573
d-StefanDecker,c-IFCruz
259-1784,87-6573
64-2637,60-2319
64-2637,08-1790
r-PaulResnick,73-2015
51-6821,38-8707
59-5046,c-IFCruz
59-5618,d-XinLunaDong
59-5618,51-6689
f-JohannesFurnkranz,45-1559
65-3461,59-3814
65-3461,c-ToonCalders
k-SamuelKounev,45-4887
19-3784,m-JosianeMothe
32-7029-1,71-5578
79-4619,71-5578
78-4490,p-ANPapadopoulos
78-4490,s-PinarSenkul
c-AntoineCornuejols,48-5154
58-1631,48-5154
58-1631,38-8707
05-8026,48-5154
s-LorenzaSaitta,48-5154
85-2625,48-5154
38-6013-1,19-4428
38-6013-1,50-7626
38-6013-1,37-3868
38-6013-1,06-8315
06-5883,d-XinLunaDong
06-5883,s-MonicaScannapieco
80-4914,85-1868
00-2197,99-2497
p-DoinaPrecup,k-BettinaKemme
p-DoinaPrecup,74-20
71-7413,61-5238
71-7413,38-2946
71-7413,07-1751
71-7413,87-6573
75-6949,36-195
84-3088,71-5578
k-ChristophKoch,l-HJLenz
k-ChristophKoch,177-9027
k-ChristophKoch,223-4092-1
k-ChristophKoch,348-7755
k-ChristophKoch,14-775
k-ChristophKoch,33-8291
k-ChristophKoch,131-4231
k-ChristophKoch,116-4868
k-ChristophKoch,k-ViktorKuncak
k-ChristophKoch,152-5813
k-ChristophKoch,s-KUSchulz
k-ChristophKoch,p-PaoloPetta
k-ChristophKoch,67-4746
k-ChristophKoch,f-WolfgangFaber
k-ChristophKoch,p-GeraldPfeifer
k-ChristophKoch,j-SimonLPeytonJones
k-ChristophKoch,19-7373
k-ChristophKoch,47-3826-1
k-ChristophKoch,77-480
k-ChristophKoch,75-860
k-ChristophKoch,94-1806
k-ChristophKoch,j-ThomasJansen4
k-ChristophKoch,00-5643
k-ChristophKoch,218-1533
k-ChristophKoch,271-7712
k-ChristophKoch,30-9116
k-ChristophKoch,21-276
k-ChristophKoch,03-7746
k-ChristophKoch,54-8643
k-ChristophKoch,88-11209
k-ChristophKoch,16-7184
k-ChristophKoch,136-0876
k-ChristophKoch,37-6355
k-ChristophKoch,181-5785
k-ChristophKoch,181-5819
k-ChristophKoch,b-RobertBaumgartner
k-ChristophKoch,91-4750
k-ChristophKoch,141-4384
k-ChristophKoch,179-2944
k-ChristophKoch,45-7178-3
k-ChristophKoch,260-5729
k-ChristophKoch,148-4025
k-ChristophKoch,165-2485
k-ChristophKoch,f-BabakFalsafi
k-ChristophKoch,54-1987
k-ChristophKoch,f-TimFurche
k-ChristophKoch,s-SebastianSchaffert
k-ChristophKoch,35-6382
k-ChristophKoch,b-SachaBerger
k-ChristophKoch,137-7138
k-ChristophKoch,47-9100
k-ChristophKoch,70-5301
k-ChristophKoch,185-4305
k-ChristophKoch,185-4291
k-ChristophKoch,185-4285
k-ChristophKoch,275-9257
k-ChristophKoch,03-4919
k-ChristophKoch,50-4380
k-ChristophKoch,80-5264
k-ChristophKoch,s-LucSegoufin
k-ChristophKoch,20-3528
k-ChristophKoch,145-1655
k-ChristophKoch,147-8375
k-ChristophKoch,120-7909
k-ChristophKoch,o-MartinOdersky
l-HJLenz,h-PeterJHaas
l-HJLenz,w-JefWijsen
l-HJLenz,r-MatthiasRenz
l-HJLenz,r-ChristopherRe
177-9027,143-6186
177-9027,01-4316-1
223-4092-1,74-3195
223-4092-1,t-ValTannen
14-775,a-LyublenaAntova
14-775,a-DJAbadi
33-8291,143-6186
33-8291,01-4316-1
131-4231,r-ChristopherRe
131-4231,143-6186
131-4231,75-5478
152-5813,143-6186
152-5813,01-4316-1
s-KUSchulz,96-3834
67-4746,t-ValTannen
67-4746,143-6186
67-4746,75-5478
f-WolfgangFaber,b-LEBertossi
j-SimonLPeytonJones,143-6186
19-7373,143-6186
19-7373,154-6336
19-7373,01-4316-1
j-ThomasJansen4,a-LyublenaAntova
00-5643,k-AlfonsKemper
218-1533,t-ValTannen
271-7712,t-ValTannen
30-9116,154-6336
30-9116,01-4316-1
21-276,154-6336
21-276,01-4316-1
03-7746,154-6336
03-7746,01-4316-1
54-8643,01-4316-1
88-11209,01-4316-1
16-7184,01-4316-1
136-0876,97-919-1
136-0876,01-4316-1
37-6355,97-919-1
37-6355,01-4316-1
181-5785,143-6186
181-5785,01-4316-1
181-5819,143-6186
181-5819,01-4316-1
141-4384,01-5237
141-4384,97-3036
141-4384,143-6186
141-4384,01-4316-1
f-BabakFalsafi,r-KARoss
f-BabakFalsafi,a-AnastassiaAilamaki
f-BabakFalsafi,98-3414-1
f-BabakFalsafi,p-IppokratisPandis
f-BabakFalsafi,c-ShiminChen
f-TimFurche,p-NWPaton
f-TimFurche,b-MarcoBrambilla
f-TimFurche,12-225
f-TimFurche,71-7422
185-4305,01-4316-1
185-4291,01-4316-1
185-4285,143-6186
185-4285,01-4316-1
275-9257,143-6186
80-5264,96-3253
s-LucSegoufin,d-AlinDeutsch
145-1655,143-6186
147-8375,143-6186
120-7909,143-6186
o-MartinOdersky,a-AnastassiaAilamaki
o-MartinOdersky,143-6186
d-AmolDeshpande,68-4978
d-AmolDeshpande,s-BShneiderman
d-AmolDeshpande,15-5874
d-AmolDeshpande,c-AnneCondon
d-AmolDeshpande,h-LisaHellerstein
d-AmolDeshpande,31-11267
d-AmolDeshpande,129-2067
d-AmolDeshpande,75-9827
d-AmolDeshpande,68-11411
d-AmolDeshpande,168-9479
d-AmolDeshpande,01-4921
d-AmolDeshpande,45-9583
d-AmolDeshpande,80-1631
d-AmolDeshpande,97-7024
d-AmolDeshpande,64-2120
d-AmolDeshpande,63-6700
d-AmolDeshpande,166-8362
d-AmolDeshpande,35-11471
d-AmolDeshpande,18-5613-1
d-AmolDeshpande,135-4686
d-AmolDeshpande,13-6836
d-AmolDeshpande,264-8774
d-AmolDeshpande,230-4408
d-AmolDeshpande,299-1825
d-AmolDeshpande,33-2805-1
d-AmolDeshpande,d-LarrySDavis
d-AmolDeshpande,178-8961
d-AmolDeshpande,59-7202
d-AmolDeshpande,26-6760
d-AmolDeshpande,b-RandalCBurns
d-AmolDeshpande,126-8102
d-AmolDeshpande,23-4530
d-AmolDeshpande,52-3356
d-AmolDeshpande,66-4019-1
d-AmolDeshpande,233-6232
d-AmolDeshpande,268-4722
d-AmolDeshpande,92-7728
s-BShneiderman,c-IFCruz
s-BShneiderman,54-6752
h-LisaHellerstein,k-GeorgeKollios
31-11267,c-VTChakaravarthy
01-4921,131-9628
45-9583,d-AlinDeutsch
80-1631,20-1055
97-7024,h-OktieHassanzadeh
97-7024,136-7969
97-7024,23-7274
166-8362,o-FatmaOzcan
166-8362,127-6195
35-11471,a-DJAbadi
d-LarrySDavis,16-5085
d-LarrySDavis,263-9205-1
d-LarrySDavis,20-6358
d-LarrySDavis,23-816
178-8961,j-HVJagadish
